"IDnum","clean_code","SCTlongonly"
1,"AGOHET",4.2
2,"ALLFAL",2.8
3,"ANAARV",1.8
4,"ANCFIL",2.2
5,"ATHPUS",1.4
6,"AVEFAT",6.6
7,"BROELE",3.4
8,"BROHOR",0.22
9,"BROMAD",1.1
10,"CALCIL",2.8
11,"CALPAU",5
12,"CASATT",1.15
13,"CENSOL",5.2
14,"CENTRI",0.75
15,"CHAGLA",1.1
16,"CHLPOM",4.6
17,"CLAGRA",2
18,"CLAPUR",2.2
19,"COLSPA",1.175
20,"CRYHIS",4.6
21,"DICCAP",1.8
22,"ELYELY",2.5
23,"EPIBRA",1.1
24,"ERINUD",2.2
25,"ERILAN",6.2
26,"EUPCRE",2.9
27,"FILCAL",0.416666666666667
28,"FRIPUR",0.9
29,"GALAPA",1.085
30,"GALMUR",1
31,"GILCAP",3.4
32,"GILTRI",0.3
33,"HEMCON",1.2
34,"HOLVIR",8.8
35,"HYPGLA",3.6
36,"LACSER",0.65
37,"LAGMIN",1.2
38,"LASCAL",0.95
39,"LEPNIT",3
40,"LINDIC",1.4
41,"LOLMUL",2.4
42,"LOMMAR",4.6
43,"LOTHUM",2.6
44,"MEDPOL",1.61
45,"MICCAL",5.3
46,"MICDOU",7.2
47,"MIMDOU",0.7
48,"MIMGUT",1.4
49,"NASPUL",0.9
50,"NAVJEP",2.8
51,"PETPRO",0.95
52,"PHLGRA",1.2
53,"PLAERE",5.2
54,"RIGLEP",1.8
55,"SIDDIP",1
56,"SILGAL",1.8
57,"SISBEL",5.4
58,"TAECAP",2.11
59,"THYCUR",1.625
60,"TRIALB",2.4
61,"TRIFUC",1.4
62,"TRIHIR",5.1
63,"TRIWIL",0.8
64,"TRIGRA",2
65,"UROLIN",7.1
66,"VELRIG",1.2
67,"VICVIL",8
68,"VIODOU",4
69,"VULMIC",1.2
70,"VULMYU",2
71,"ZIGFRE",0.7
